Product,Price,Link
Apple 蘋果 iPhone 16 (128G),1644,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSR
Apple 蘋果 iPhone 16 (256G),1837,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSB
Apple 蘋果 iPhone 16 Plus (256G),2002,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSF
Apple 蘋果 iPhone 16 Pro (128G),2029,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSY
Apple 蘋果 iPhone 16 Pro Max (256G),2469,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTT4
Apple 蘋果 iPhone 16 Pro Max (512G),2854,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTT5
Apple iPhone 16e 128GB,20899,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-128GB/p/151744-B
Apple 蘋果 iPhone 16e (128G),20900,https://24h.pchome.com.tw/prod/DYAJ8L-1900IDJG6
Apple iPhone 16e 256GB,24399,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-256GB/p/151746-B
Apple 蘋果 iPhone 16e (256G),24400,https://24h.pchome.com.tw/prod/DYAJ81-1900IDJHY
Apple 蘋果 iPhone 16 (128G),27999,https://24h.pchome.com.tw/prod/DYAJLW-1900HSPR4
Apple iPhone 16 128GB,28289,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-128GB/p/149001-B
Apple 蘋果 iPhone 16 (128G),28299,https://24h.pchome.com.tw/prod/DYAJLW-A900HSYD3
Apple 蘋果 iPhone 16 (128G),28299,https://24h.pchome.com.tw/prod/DYAJLW-A900HSVAQ
Apple iPhone 16e 512GB,31299,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-512GB/p/151749-B
Apple 蘋果 iPhone 16 Plus (128G),31500,https://24h.pchome.com.tw/prod/DYAJLZ-A900HSVAH
Apple 蘋果 iPhone 16 (256G),31500,https://24h.pchome.com.tw/prod/DYAJLY-1900I4AHH
Apple 蘋果 iPhone 16 Plus (128G),31500,https://24h.pchome.com.tw/prod/DYAJLZ-1900HSPR9
Apple iPhone 16 Plus 128GB,31559,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Plus-128GB/p/149016-B
Apple 蘋果 iPhone 16 (256G),31900,https://24h.pchome.com.tw/prod/DYAJLY-1900HSPR6
Apple 蘋果 iPhone 16 (256G),31900,https://24h.pchome.com.tw/prod/DYAJLY-A900HSVAY
Apple 蘋果 iPhone 16 (256G),31900,https://24h.pchome.com.tw/prod/DYAJLY-1900HZFNF
Apple iPhone 16 256GB,32059,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-256GB/p/149006-B
Apple iPhone 16 Plus 256GB,34099,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Plus-256GB/p/149021-B
Apple 蘋果 iPhone 16 Pro (128G),34700,https://24h.pchome.com.tw/prod/DYAJM6-A900HSVC7
Apple 蘋果 iPhone 16 Pro (128G),34700,https://24h.pchome.com.tw/prod/DYAJM6-1900HZFQ7
Apple 蘋果 iPhone 16 Pro (128G),34700,https://24h.pchome.com.tw/prod/DYAJM6-A900HST5X
Apple 蘋果 iPhone 16 Pro (128G),34700,https://24h.pchome.com.tw/prod/DYAJM6-1900HSPQP
Apple 蘋果 iPhone 16 Plus (256G),34800,https://24h.pchome.com.tw/prod/DYAJM2-A900HSVBD
Apple 蘋果 iPhone 16 Plus (256G),34800,https://24h.pchome.com.tw/prod/DYAJM2-1900HSPQN
Apple 蘋果 iPhone 16 Plus (256G),34800,https://24h.pchome.com.tw/prod/DYAJM2-1900HZFP2
Apple iPhone 16 Pro 128GB,34989,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-128GB/p/149031-B
Apple 蘋果 iPhone 16 Pro (256G),38200,https://24h.pchome.com.tw/prod/DYAJM7-1900IJ9Q6
Apple 蘋果 iPhone 16 Pro (256G),38700,https://24h.pchome.com.tw/prod/DYAJM7-A900HSYDS
Apple 蘋果 iPhone 16 Pro (256G),38700,https://24h.pchome.com.tw/prod/DYAJM7-A900HSVC3
Apple iPhone 16 Pro 256GB,38759,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-256GB/p/149035-B
Apple 蘋果 iPhone 16 (512G),38999,https://24h.pchome.com.tw/prod/DYAJM0-1900HSPR8
Apple 蘋果 iPhone 16 Pro Max 256GB 沙漠色鈦金屬,39080,https://24h.pchome.com.tw/prod/DYAJMM-A900I5TTP
Apple iPhone 16 Plus 512GB,41939,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Plus-512GB/p/149026-B
Apple 蘋果 iPhone 16 Pro Max (256G),42999,https://24h.pchome.com.tw/prod/DYAJMC-1900HSPRI
Apple iPhone 16 Pro Max 256GB,43469,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-Max-256GB/p/149047-B
Apple 蘋果 iPhone 16 Pro Max (256G),43500,https://24h.pchome.com.tw/prod/DYAJMC-A900HSYEF
Apple 蘋果 iPhone 16 Pro Max (256G),43500,https://24h.pchome.com.tw/prod/DYAJMC-A900HST69
Apple 蘋果 iPhone 16 Pro Max (256G),43500,https://24h.pchome.com.tw/prod/DYAJMC-1900I4G81
Apple 蘋果 iPhone 16 Pro Max (256G),43500,https://24h.pchome.com.tw/prod/DYAJMC-A900HSVCK
Apple iPhone 16 Pro 512GB,45799,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-512GB/p/149039-B
Apple 蘋果 iPhone 16 Pro (512G),47000,https://24h.pchome.com.tw/prod/DYAJM4-1900HSPQQ
Apple 蘋果 iPhone 16 Pro (512G),47799,https://24h.pchome.com.tw/prod/DYAJM4-1900HSZMM
Apple 蘋果 iPhone 16 Pro Max (512G),48999,https://24h.pchome.com.tw/prod/DYAJMB-1900HSPRJ
Apple iPhone 16 Pro Max 512GB,49559,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-Max-512GB/p/149051-B
Apple 蘋果 iPhone 16 Pro Max (512G),49999,https://24h.pchome.com.tw/prod/DYAJMB-A900HSVD2
Apple 蘋果 iPhone 16 Pro Max (512G),49999,https://24h.pchome.com.tw/prod/DYAJMB-A900HSYEI
Apple 蘋果 iPhone 16 Pro Max (512G),51900,https://24h.pchome.com.tw/prod/DYAJMB-1900I5LUG
Apple iPhone 16 Pro Max 1TB,56895,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-Pro-Max-1TB/p/149055-B
